id,question
1887,This Round Was Bit Tuff  What Ever you Fill in Form As skills & Certification you Mention definitely you have questions on it  I Mentioned Asp.Net As certification  Hr asked to tell me the life cycle of Asp.Net  I replied I don't know Theoretical concepts I know Practical Knowledge  Then Hr Asked Tell Me What you know in Asp.Net I Told Creating Web page Design It Running it Use off Button  Image  File Uploading & connecting it to Data Base  Immediately Hr Asked Tell Me About Joints I Told I don't know Database I know only to use it for project create  update  delete the Table  He asked me You would be studied in your collage Since I am an IT Department Student he asked me I Replied Don't know  Then He asked me abt Bubble Sort I told The Answer  then Asked abt Stack I told The answer waited for result with Fear But luckily I got Selected & gone to Hr Round. (Be Bold To Say No if You Don't know the Answer HR will not take it seriously Then Confusing by telling irrelevant answers)
1014,2)page caching  output caching?
479,5) Complete oops concept. Please be completely prepared with realtime example and use of oops concept in program and program to illustrate inheritance (overloading and Overriding).
657,5.difference b/n c and c++? I answered in brief narrating all features . When I came to polymorphism they had to interrupt (as I had expected!! )
298,3) Can you typecast one Object type to another Object type or One              object type to another data type (Clue: Boxing & Unboxing)
865,11) what are the cpu scheduling algorithms you know?
958,How does the scheduler know the time how it should be scheduled.
2416,The interview was quite easy. Most of the questions were from academic project  3 questions were from oops. He also asked me sql concepts like joins  normalization  triggering  indexing. As he is oracle team lead most of the questions he asked me from oracle that I was unable to answer and I just said that I don't have much knowledge in this. He also asked me to write a program to merge two strings. At the end he asked me to rate myself in java as well as oracle. After that he told many things about wipro when I asked him. My technical interview continued for about 35 minutes after an hour results were declared and I cleared my technical round. After that we were asked to leave for home.
744,D Two threads halted without further execution  each waiting for the lock obtained by the other thread to be released.
256,"Generally for any interviews we might have heard of having group discussions on general topics but for LG Soft it is completely different. They will give you a technical topic and would divide the crowd into 2 groups. They will give 10 minutes for one group to support their concept and in the same way other group too! What I felt was that it was more like a debate than a discussion. In this round they will not assess our Communication skills or Management Skills rather they would specifically analyze our technical knowledge. For us the topic was ""Procedural Oriented Vs Object Oriented"". I initially  thought that it was an easy topic to discuss but as it is a competition we will not easily get chance to express and support our words. Somehow I tried to convey the things that I know and actively participated in the discussion. After 10 minutes they will change the positions of the 2 groups and would ask you to speak. Now  we should be very careful. We should not repeat the points that were already mentioned by some other people. I confidently discussed with my competitors and somehow qualified in the second round."
1476,hr-tell me about foreign key and primary key?
734,Thread used in screw jack  lead screw?
1941,In first tech they asked C  C++  SQL
1074,Output caching is a powerful technique that increases request/response throughput by caching the content generated from dynamic pages. Output caching is enabled by default  but output from any given response is not cached unless explicit action is taken to make the response cacheable.
2040,The above SQL statement is correct or not? (question is not cleared)
695,Me: Polymorphism is the ability of an object to take on many forms.
2307,The data dictionary cache is stored in an area in SGA called the Shared SQL Pool. This will allow sharing of parsed SQL statements among concurrent users.
530,4) how can u initialize a function which has declared in 2 classes  where those 2 classes were inherited already?
536,a. private: b'coz the private inheritance makes everything from the base class private in the derived class (ans)
1048,a. single cache less instructions  (ans)
981,It mainly covers Operating system. consists of questions in semaphore (2 questions)  job scheduling algorithms  paging (2 or 3 questions)  virtual memory  hashing  etc
404,Me: Yes  can call without creating object
2086,(c) A group of SQL statements defining a user-oriented task
1184,>Do you think java is secure and why?
1323,Q- What is deadlock and blocking with respect to the transaction?
1777,a) Data Base Writer(DBWR) :: Data Base Writer Writes Modified blocks from Database buffer cache to Data Files.This is required since the data is not written whenever a transaction is commited.
1144,b)LogWriter(LGWR) :: LogWriter writes the redo log entries to disk. Redo Log data is generated in redo log buffer of SGA. As transaction commits and log buffer fills  LGWR writes log entries into a online redo log file.
629,18)  are encapsulation  datahiding  abstraction same
203,It contains 100 objective type questions.
1525,3. Verbal aptitude : 40 questions 35 minutes  level of difficulty was moderate. Time is the key factor try to practice more and more from IndiaBix for accuracy and and time management.
519,C++ (oops inheritance polymorphism etc) just be clear with basics.
1122,7. Two buffer ckt were given what is the difference b/w them?
2134,You are setting up the backup scheme for your SQL Server 2005 server and want to setup nightly full backups and hourly log backups in the Maintenance Plans subsystem. How many plans must you setup?
94,ActiveX Data Object. ADO can access data from both flat files as well as the databases. I.e.  It is encapsulation of DAO  RDO  and OLE that is why we call it as OLE-DB Technology. Objects are Connection  Record Set  Command  Parameter  field  Error  Property.
1601,a) ALTER  TABLE employee DROP PRIMARY KEY CASCADE;
2157,Credentials in SQL Server 2005 are used to access what?
571,Abstract classes are closely related to interfaces. They are classes that cannot be instantiated  and are frequently either partially implemented  or not at all implemented. One key difference between abstract classes and interfaces is that a class may implement an unlimited number of interfaces  but may inherit from only one abstract (or any other kind of) class. A class that is derived from an abstract class may still implement interfaces. Abstract classes are useful when creating components because they allow you specify an invariant level of functionality in some methods  but leave the implementation of other methods until a specific implementation of that class is needed. They also version well  because if additional functionality is needed in derived classes  it can be added to the base class without breaking code.
45,c) Each derived class object has base objects only from the virtual instance
772,12) one on a right threaded tree
937,Around 300 people gave the test and 130-140(70 CS people) were selected for the next round which was scheduled for next day.
1285,12. Many problems like A needs 5 resources and B needs 6 resources of same type  then minimum resources needed so that deadlock will not occur?
293,was that he declared an object locally in a function and tried to
1058,cache access time 100 msec. main memory access time 800 msec if the hit ratio is
1262,We had to go to Polaris company for interview which is located in Gachibowli  firstly I was shocked to see the campus because its my first MNC which I've entered into. Even security guards room was equipped with AC  that amazes me very much. After some time we've entered into the office  they served us with snacks. The interview in polaris is quite different from others  they will ask you different situations and asks what will you do in that situation and how will you react it  all of them says real life problems  it lasts for 25-30 mins. I was lucky the interviewer is very much friendly to me. He asked many questions  I remember only some of them.
803,Write a java program snippet for thread synchronisation concept.
1579,When you install SQL Server 2005 and create a new database  is a Database Master Key created?
460,2. Technical Objective : There will be 15 questions and time allocated is 15 mins. Very easy section. You can crack it if you have basic knowledge of c  cpp  java. You will finish this section in 5 mins.
1,73. In objective test a correct ans score 4 marks and on a wrong ans 2 marks are
82,2. PCM  AM  FSK  DPSK NUMERICALS & Objective q
1501,15. In public key algorithm   A wants to send message to B .....
846,Then he asked me to tell OOPS concepts  Inheritance program and application  JDBC connection steps and if possible program too. But I said I don't know.
1209,d. Which one is not needed for Multi-pgm. enviornment? options are: virtual memory security time sharing none of the above.
476,An Abstract class is a partial implementation of a class. In other words  at least some of the operations or methods are implemented  but the full implementation is left up to an inherited class.
2216,How many users can be added to an application role in SQL Server 2005?
973,Normally one would schedule a hierarchy of daily  weekly and monthly backups  however consult with your users before deciding on a backup schedule. Backup frequency normally depends on the following factors:
1974,SQL queries were from join Subqueries Clusters etc This portion was tough for me
563,Correct answer: Data Abstraction  Data Encapsulation  Inheritance  Polymorphism.  (4 Pillars).
23,To create an object of any class its mandatory to know that how much memory required to load the class so in case of abstract class its can't be calculated for abstract members thats why we can't create object of Abstract class
501,Constructors-destructors; dynamic binding; polymorphism; inheritance          virtual functionsetc.
424,1. tech test objective questions 20 min 30 qu. covering core java  JSP  EJB  SQL
179,4.When an object like cube or sphere is seen along x y z axes we get the  same.Apart from these suggest another which has similar characteristics?
1819,B) Transactional Load Partitioning Improvement:
620,7. He asked about inheritance  polymorphism  abstraction  encapsulation  etc
336,A record group is an internal Oracle Forms that structure that has a column/row framework similar to a database table. However  unlike database tables  record groups are separate objects that belong to the form module which they are defined.
2402,3. If you are from IT or CSE background then make sure that you know 2 programming languages  DBMS (very important)   sql queries are very important.
1638,128. What are key-mode and locking mode properties? level ?
2156,You can use tracer tokens in SQL Server 2005 replication to measure latencies. These are small amounts of data written into your transaction logs.
753,Interviewer- Is servlet single threaded or multithreaded?
2207,The correct answer is off ? The TRUSTWORTHY database property indicates whether the installed instance of SQL Server trusts the database such that it can reach out and perform actions outside the database. By default it is OFF such that the database to reduce certain threats that can result from attaching a database that contains potentially harmful code
332,IMP-00015: Statement failed ... object already exists... - Use the IGNORE=Y import parameter to ignore these errors  but be careful as you might end up with duplicate rows.
1672,In DBMS they asked normalization  foreign keys etc
2415,For IS/CS DBMS basic knowledge  SQL queries is a must  few C program and C++ concept like inheritance  polymorphism etc  networking concepts is also important.
1917,Q) Tell the commands of ddl dml dcl  &tcl command?s.
2230,How can SQL Server Agent Mail send messages in SQL Server 2005?
776,18-There is a tree with inorder threading Node B is inserted as left child of nade A. Node A already has right child . Where will the null ptr of B point ?
2105,What does the SQL Writer service do?
844,16. How many types of JDBC driver-
741,TECH RND2: Threads  again they told to write programs in Encapsulation  Inheritance  Abstraction  about project.
283,In ASP.NET the Response object is of type HttpResponse and when you say Response.Write you?re really saying (basically) HttpContext.Current.Response.Write and calling one of the many overloaded Write methods of HttpResponse.
429,o New Status for Changed records (ODS Object only)
1593,How to crack Part A: This is perhaps the most easiest part of the Test. An automated sound will instruct us to read a particular number  the key is we should immediately respond and should speak loudly and clearly. But dont read fast. By doing this we can bag max marks.
1453,JAM: They partitioned 20-30 as per group and conducted JAM. Topic is your choice but should not be related to technical. Be effective in your language that's key to clear this round as most of the elimination will be done. About 6-10 cleared per each group.
1642,A master detail relationship is an association between two base table blocks- a master block and a detail block. The relationship between the blocks reflects a primary key to foreign key relationship between the tables on which the blocks are based.
970,. Console: This is a graphical interface from where one can schedule jobs  events  and monitor the database. The console can be opened from a Windows workstation  Unix XTerm (oemapp command) or Web browser session (oem_webstage).
667,Constructors-destructors; dynamic binding; polymorphism; inheritance              etc.
1288,Q 12. The following conditions are necessary for a deadlock
2031,Int: Gave me his tab and told me to write an SQL query.
1008,This is a bit tough round . The interviewer asked about my Academic background and my interest on subjects . He asked me the subjects i have covered in MCA course schedule and tried to cover all the subjects with simple questions and testing our capability in answering  the questions ...asked some live examples for the answers. the session lasted for about 45 minutes. be confident on the subjects you are interested.
0,In objective test a correct ans score 4 marks and on a wrong ans 2 marks are ---. a student score 480 marks from 150 question. how many ans were correct?
1924,The answer is Phantoms rows. A phantom row refers to the situation where you execute a DML statement that retrieves data  and another process may add new rows the result set. For example:
2166,In SQL Server 2005  you are looking to implement full-text search. One of the tables you are looking to index stores Mircrosoft Word documents in a varbinary(max) column. Can you use Full-text search to index this column?
1249,18. Why are OPS$ accounts a security risk in a client/server environment? (for DBA)
1259,1) I reached the spot on time (White field near ITPL) the campus is amazing but the security guard was asking me lot of questions before sending me inside. Its only after brief verification I was allowed inside the campus.
1961,In the test  There were 30 questions based on sql  unix  (c/c++/java) you can choose for the language you want  10 question on each. Time was of 30 mins.
1087,141. What is dictionary cache ?
2217,Which protocols support Kerberos authentication on SQL Server 2005?
618,Class encapsulates data member and member function. These function and data members are inaccessible to outside environment.
1034,9. Problem on cache (what I remember is power was asked and two solution were given for the problem in cache design which is better).
435,The Open Hub Service enables us to distribute data from an SAP BW system  into external Data Marts  analytical applications  and other applications. We  can ensure controlled distribution using several systems. The central object for  exporting data is the InfoSpoke. We can define the source and the target object  for the data. BW becomes a hub of an enterprise
1743,The answer is an acronym that describes concurrency support in a database. ACID is an acronym for the following four terms: * Atomicity - Every operation within a transaction is treated as a singular operation; either all of its data modifications are performed  or none of them is performed.
1439,a.  A public key     b.  A private key    c.  B public key     d.  B private key
1487,11) how many keys are needed in symmetric and asymmetric crptography?
1547,1.how mant primary keys can exist for a table
712,Then java it is quit easy. Polymorphism  method overloading method overriding diff  constructor  static like this you are asked to give an example of constructor with coding you can see javatpoint it is very helpful. Javatpoint is very useful.
1556,The key here is Confidence  Soft Skills and most importantly is READ ALL THE THINGS ABOUT L&T TS.
784,29. Design the implementation and thread models for I/O completion ports.
1194,Maintaining genetic diversity is crucial for the long-term survival of any crop. When a crop variety somewhere becomes vulnerable either due to the onslaught of a disease or the soil becoming waterlogged or alkaline  scientists need to breed another variety of the crop for that region. They do this by searching for suitable genes in related varieties and the natural gene pool of rice and introduce harmful features like gene-silencing or change the normal functions of other genes  it would have terrible implications for food security of the rice-eating regions of the world.
676,He asked about what is polymorphism  Inheritence etc.
292,1. How do you find the size of a java object (not the primitive type) ?
1872,Other groups had normal gd  some topics were JOINT FAMILY Vs nuclear family  role of govt. in IT sector  Arrange marriage Vs love marriage etc.
2147,When testing connectivity in SQL Server  you use which utility in conjunction with the readpipe utility to establish a connection?
909,On 27th July  2010 I received mail from aspiring minds that I cleared aptitude. I was one among 15% of the candidates all over India who wrote aspiring minds. But I checked mail only on 29th evening and GD schedule was on 31st July at 11:00 A.M. I had 1 day left so I prepared only for interview by refreshing topics from electronic devices  8085  8051  C and basics of C++.
843,Me: JDBC  MULTITHREADING  OOPS CONCEPTS.
902,I gave the online test for HAL (mechanical) which was scheduled on 14/11/2013 at abad.
1822,A) The number on the overview screen corresponds to the total of LUWs (see  also first question) that were written to the qRFC queue and that have not yet  been confirmed. The detail screen displays the records contained in the LUWs.  Both  the records belonging to the previous delta request and the records that  do not meet the selection conditions of the preceding delta init requests are  filtered out. Thus  only the records that are ready for the next delta request  are displayed on the detail screen. In the detail screen of Transaction RSA7  a  possibly existing customer exit is not taken into account.
1960,In Technical round they asked me about UNIX  In SQL join  Alter  Tables.
78,67. In object orientated programming a class of objects can _____________ properties from another class of objects
10,Each question had 5 options. There were 25 question in all and all  were Objective Type.
2344,COMMIT makes permanent the changes resulting from all SQL statements in the transaction. The changes made by the SQL statements of a transaction become visible to other user sessions transactions that start only after transaction is committed.
598,You can change the appearance of objects at runtime by changing the named visual attribute programmatically; property class assignment cannot be changed programmatically. When an object is inheriting from both a property class and a named visual attribute  the named visual attribute settings take precedence  and any visual attribute properties in the class are ignored.
1650,They asked about The normalization  and cardinality  primary key  foreignkey.
1268,Me: security  platform independent...
1836,A) When Transaction data is loaded into InfoCube.
2004,1)What is Oracle. What is SQL Server.
453,They asked me to list out all the topics in C. Then they asked me some outputs for programs. Then they asked me to write some programs related to files.They asked me Object Oriented concepts .Then they asked me about my project. Then they gave me a situation and asked me to tell about it. It was ok. It was for 1 hour.
2143,You are developing security policy for your SQL Servers and have all of the data entry clerks needing access to a series of tables. You create a Data Entry role and assign the proper permissions as well as add the users.
2023,9.more questions on microprocessors  Data structures  Prepored  postorder  Networks (piggypagging)  SQL  Superkey..etc I could not remember...
2380,Q. How will you create a table from an existing one (Ans: using select into SQL command)
1594,How to crack Part C: This is another tricky area of the test. Listening skills are going to be the key for Part B and C. Automated voice asks questions we have to answer them in two or three words max (Two is suggestible). Sometimes answer will be in the question it self or it will be a direct question.
522,3) Core Java concepts like Inheritance  Polymorphism.
2122,In SQL Server 2005  what does instance aware mean for a service?
1066,32. when write through is better than write back(related to cache memory)
1993,2. Technical test consisted of 4 sections each of pseudocode c unix n sql all tests r computer based
2249,You have installed a US English SQL Server 2000 instance with the default options  collation  and sorting. What does this return:
2248,Which of the following modules within SQL Server 2005 cannot be signed with a digital signature?
1264,There was upper limit for cut off. Students who secured between given limits were selected for technical and HR interview. Expected cut off was 15-20 for technical written.
1797,Recovery is the process of applying redo logs to the database to roll it forward. One can roll-forward until a specific point-in-time (before the disaster occurred)  or roll-forward until the last transaction recorded in the log files. Sql> connect SYS as SYSDBA
359,117. Can object group have a block?
2193,While all of these are valid encryption algorithms on SQL Server 2005  the AES algorithms (128-bit  192-bit  and 256-bit) are not supported on Windows XP or Windows 2000. To use these  you would need to upgrde to Windows 2003.
113,Ans-To convert Implicit object into explicit and vice versa I explained it in well mannered way.
371,Export all of the objects from the tablespace
2211,You have noticed in both your SQL Server 2000 and 2005 instances that when a database grows in SQL Server  there is a delay in the database response. Why is that?
1220,The root cause of class conflict its possessiveness or the acquisitive instinct. So long as the ideal that is to be achieved is one of securing the maximum material satisfaction  possessiveness is neither suppressed nor eliminated but grows on what it feeds. Nor does it cease to be such - it is possessiveness  still  whether it is confined to only a few or is shared by many.
1072,In unmanaged environments the compiler and linker directly compile the source code in to native instructions that are targeted at a specific processor. The disadvantage of this process is that each time you want to run your executable on a different platform you will have to re-compile the code using a compiler and linker that will compile the code that is targeted at the specific hardware. This means that each time you want your application to run on a different platform  you will have to ship the compiled instructions again and again. As this leads to compiling and maintaining multiple versions of the same application  the companies try to create a more generalized compiled version in order to target most of the environments. This process is known as the Lowest Common Denominator approach. This leads to a more generalized program which is not optimized properly and does not take advantages of the underlying hardware infrastructure (processor  cache  etc). Because the CLR supplies one or more Just in Time Compiler for each computer architecture it supports  the same set of MSIL can be JIT-compiled and run on any supported architecture.
1738,b. Read is done when the transaction is not yet committed
149,Me: Sir actually I have a good concept of object oriented programming. Java had been taught in our college during our B.tech course. But Sir I was also interested about the .Net technology by Microsoft. Just had a curiosity about knowing that. But I have more programming experience in java than C#. I am not so clear about the syntax of C#. But I have the concepts.
1296,8)  deadlocks  and i told abt 4 conditons of deadlocks also
331,ORA-00001: Unique constraint (...) violated - You are importing duplicate rows. Use IGNORE=NO to skip tables that already exist (imp will give an error if the object is re-created).
1080,Imagine this scenario: I/O completion ports are communictaions ports which take handles to files  sockets  or any other I/O. When a Read or Write is submitted to them  they cache the data (if necessary)  and attempt to take the request to completion. Upon error or completion  they call a user-supplied function to let the users application know that that particular request has completed. They work asynchronously  and can process an unlimited number of simultaneous requests. Design the implementation and thread models for I/O completion ports. Remember to take into account multi-processor machines.
291,What do you know about ADO.NET?s objects and methods?
1948,This section is also moderate and some questions are high level. There is 10 questions from unix  10 questions from sql  last 10 questions from C  Java  C++ based on your selection when you're starting exam. Better to choose C. Unix and sql is mandatory.
1228,To effectively handle security  you want to minimize the administrative burden. Bob is a member of the Data Entry role  and because of cross training  you do not want to remove him from this role  but you do need to DENY permission to the Vacation table. The best way to do this is with another role specifically to DENY this permission.
1399,58)a relation schema R is in BCNF if it is in ___________and satisfies an  additional constraints that for every functional dependency XY X must be a  candidate key
540,15. what is accessibility of a protected member of a base class which is inherited privately?
2409,I attended Virtusa written test in Hyderabad. Written test consists of two sections. First section they asked on SQL  Java  UML  Software Engineering. SQL questions based on Joins. Try to understand question much quicker.
1713,Also very imp. That only put things in your resume that you know about not for the key of it looks or sounds cool to know this much  they do ask mostly everything on your resume.
2367,Can one use dynamic SQL within PL/SQL? OR Can you use a DDL in a procedure ? How ?
2418,The panel was too helpful and friendly. They tried to make the candidate comfortable. I questions on SQL  Java  SDLC and basic OOPS concepts.
1465,Time is key in this sections. You have to manage your time to answer this module.
1463,a) the key word Friend b) the key word friend and scope resolution  c) only scope resolution  d) nothing
1456,tables a  b & c each contain 100 rows & the primary key for tables a & b is pk. What is the maxm. No. of rows that could be returned by query
1724,1. In what way are data warehouses different from databases? (This has  taken most of my time  since we got into a discussion of each and  every aspect. Some important aspects touched upon are: OLTP  transactions and OLAP transactions  querying  response-time of a  database  load on the database  query processing etc.).
118,5) Question on data objects  and constraints
1542,13) relation between primary key foreign key
2331,Table functions are designed to return a set of rows through PL/SQL logic but are intended to be used as a normal table or view in a SQL statement. They are also used to pipeline information in an ETL process.
1972,Basic sql queries. For union  joins  difference between truncate and delete.
2351,The data dictionary cache is stored in an area in SGA called the shared pool. This will allow sharing of parsed SQL statements among concurrent users.
1181,1 - How do you provide security to your project.
2316,f) Embedded Sql :: Incorporate DDL DML and T.C.S in Programming Language.e.g:: Using the Sql Statements in languages such as 'C'  Open Fetch  execute and close
1073,The object?s state (values)How does output caching work in ASP.NET?
302,Motorola india -job profile was writing codes/programs for its mobile job location banglore. test paper consisted of 30 objective questions. most of them were electronics 3 c programs-find out mistakes from them.In one of them an int type variable was assigned value using function: int i= func() however the function was not declared earlier.
2024,If you have good domain knowledge and concepts like Java OOPS  DBMS and SQL Queries  Data structures  you can easily crack this interview. Never forget to prepare your final year project. prepare DBMS specially(join  normalization  transaction  acid properties).
871,118 Which of the following is an acceptable schedule starting from Monday to  Friday?
1397,59) a relation schema R is in BCNF if it is in ________ and satisfies an additional constraints that for every functional dependency XY X must be a candidate key
894,5) from o.s. process scheduling and disk scheduling.
1630,b) 2 Normal Form :: A table is said to be in 2nd Normal Form when all the candidate keys are dependant on the primary key
1340,14> difference between DBMS n RDBMS (told abt E.M.CODD'S 12 rules n key concept)
68,Class is an object of an object.
159,tell about urself  ur hobbies  ur strengths  weakness  why should I hire u  ur career objective
983,The technical interview was scheduled on 4 September 2017 at Sikkim Manipal institute of technology ( SMIT)   we all visited and after a lot of tension we appeared ...A pre placement talk was arranged on 04 September at 9 am were a short ppt and video related to BOSCH were shared give your full attention to the pre placement talk as many a times questions are asked from three ...Then came the interview round 4 panels were set and we were called one by one ...my advice if they tell at random whoever can come for interview please don't hesitate and go through it.
337,A property clause is a named object that contains a list of properties and their settings. Once you create a property clause you can base other object on it. An object based on a property can inherit the setting of any property in the clause that makes sense for that object.
230,73. In objective test a correct ans score 4 marks and on a wrong ans 2 marks are ---. a student score 480 marks from 150 question. how many ans were correct?
1965,Around 47 students cleared this round. If you clear online test than 70% of your work is done but don't relax. For technical interview  be prepared with one of your core subjects. If you are from ece be prepared with digital electronics/microprocessors and basic programs. Also you may be asked to write program in c/c++/java language(the one language you have chosen during online test). Learn few basic SQL queries related to groupby while etc.
1515,The aptitude test has 50 questions with 60 minutes time. Time management and selection of question is the master key to crack written test and the important thing is that we have to fill circles in OMR sheet. So  be careful with your answers.
448,Answered that I need to be more objective in a competitive environment.
1343,14.difference between DBMS n RDBMS (told abt E.M.CODD'S 12 rules n key concept)
1283,21.what is deadlock n different mechanism to avoid it
2184,What message types exist in SQL Server 2005 Service Broker?
1774,PARTLY AVAILABLE - Contains data from an unresolved transaction involving a distributed database.
1064,14-2level cacheis there first level cache s access time is 100ns second level cache s access time is 33ns & memory access time is 1000 ns What is total memory access time ?
206,First part was C  C++. questions on fundamentals  programs and their output  objective type
2236,SQL Server is a DBMS system provided by Microsoft. SQL Server is sometimes mistakenly referred to as SQL.
1936,8). Joins Topic in SQL like Which is the better join command to club all the rows and columns?
1722,7. There are 3 persons X  Y and Z. On some day  X lent tractors to Y and Z as many as they had. After a month Y gave as many tractors to X and Z as many as they have. After a month Z did the same thing. At the end of this transaction each one of them had 24. Find the tractors each originally had?
1827,Q) I would like to display the date the data was uploaded  on the report. Usually  we load the transactional data nightly. Is there any  easy way to include this information on the report for users? So that they know  the validity of the report.
